names	rpkm
AT2G29660	9.46325290539198e-12
AT1G33770	1.84369970247024e-12
AT3G29631	8.11246396737075e-14
AT1G22860	2.59657468800923e-12
AT1G65410	4.67857768400169e-12
AT1G08120	2.08007919316332e-13
AT1G61720	2.78336563130907e-12
AT1G51690	5.38506242346329e-12
AT5G28715	3.75468150074004e-14
AT1G78070	4.8160023424593e-13
AT1G07740	1.09994533459742e-12
AT5G43860	1.32760981976481e-13
AT3G09490	1.64830517882488e-13
AT1G49990	3.68773362042176e-13
AT1G73820	6.44959596881041e-12
AT1G35160	5.25960028141815e-11
AT5G50670	3.79690137419855e-12
AT5G26210	3.47621878403205e-11
AT1G32210	2.17838344771526e-11
AT5G65720	3.6032418242333e-11
AT4G13420	6.63059314941438e-15
AT1G14680	1.91328416470357e-12
AT5G20670	2.09853668600389e-13
AT1G17232	1.22856404604175e-12
AT3G59000	2.00040792829216e-12
AT1G44900	1.41901069815431e-11
AT3G01205	2.9134146237691e-12
AT1G48570	3.53300018843991e-12
AT1G12640	4.18256654817154e-12
AT5G18100	3.43833742249571e-12
AT2G32640	1.37796534929954e-12
AT4G34850	3.12417227740346e-13
AT2G04555	7.56787073408291e-12
AT4G09335	1.99794567130288e-13
AT1G74840	1.15622902943138e-11
AT4G08475	1.30912324672012e-13
AT3G57820	4.81576546270216e-14
AT3G04030	2.57425796976909e-13
AT1G76140	1.16277683689786e-11
AT4G33410	1.05846435668284e-11
AT4G31020	8.33014445212572e-12
AT5G19000	8.72646380807066e-12
AT1G75280	4.92891257357342e-12
AT3G27906	4.81603570767762e-12
AT2G39580	3.46555747428981e-12
AT3G06880	1.23776076625511e-12
AT3G21351	1.04654297068246e-13
AT1G08730	1.24365984285714e-13
AT1G07697	1.13026640833706e-12
AT1G76930	1.99355216790254e-14
AT1G73760	9.75518079073539e-12
AT1G69620	1.61056313881863e-10
AT3G55210	2.73887567478454e-14
AT5G61910	1.38248681353433e-12
AT1G09130	9.40192799156861e-12
AT5G18610	4.94299107041646e-12
AT1G08880	4.75384334410339e-11
AT4G20360	5.64716960836036e-11
AT2G34090	1.74114600607171e-12
AT3G47980	1.30160495097442e-14
AT3G54200	1.39665304162211e-11
AT3G63250	1.40902458481795e-11
AT1G11545	4.78147599342659e-13
AT2G06000	5.96535484947232e-12
AT1G05273	3.19412506155701e-12
AT5G41790	1.27793607041681e-12
AT5G10870	3.219672723732e-12
AT5G65600	1.3777626874676e-14
AT1G53590	3.92971512155059e-12
AT2G36160	1.09738353075549e-10
AT2G04890	2.79690125305728e-12
AT1G07290	2.1903652711901e-13
AT5G15510	6.08350614253249e-12
AT3G06010	6.39930245896717e-12
AT1G04830	2.1683945052059e-12
AT5G58350	1.08354722910799e-12
AT3G07160	8.71519191004018e-12
AT5G63480	5.54996414479937e-12
